szofaj,szoto,gyakori
fn,ő,2382948
fn,mi,1719152
fn,amely,1616977
fn,én,1523280
fn,minden,1400245
fn,ami,1352315
fn,év,1237371
fn,ők,1077398
fn,ember,968091
fn,eset,880255
mn,nagy,1253129
mn,magyar,1003275
mn,olyan,941533
mn,új,914151
mn,jó,727358
mn,való,537408
mn,fontos,509256
mn,megfelelő,493129
mn,kis,487189
mn,szükséges,378039
ige,van,7008597
ige,kell,2356934
ige,lehet,1549271
ige,tud,1499861
ige,tesz,908340
ige,mond,853976
ige,vesz,815757
ige,ad,742526
ige,tart,665736
ige,nincs,623587
hsz,nem,6787481
hsz,is,6290129
hsz,csak,2099555
hsz,már,1725577
hsz,még,1504588
hsz,akkor,1151753
hsz,sem,1087545
hsz,úgy,851825
hsz,itt,675502
hsz,majd,666192
